name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,is_delivering_now,has_table_booking
Mimmos,"Italian, Pizza",2.3,Poor,30,R,250,3,"The Glen Shopping Centre, Oakdene, Johannesburg South",Johannesburg South,-26.2675000000,28.0511666667,0,0,0
Billy G,"Mediterranean, African, Asian",2.3,Poor,20,R,350,4,"Silverstar Hotel and Casino, Muldersdrift",West Rand,-26.0674550000,27.8285990000,0,0,0
Tradewinds Restaurant - Hilton Hotel,"International, African",2.3,Poor,14,R,500,4,"Hilton Hotel, Sandown",Sandton,-26.1017470000,28.0595860000,0,0,0
Cubana,"Spanish, Latin American",2.4,Poor,76,R,350,4,"Cedar Square, Fourways, Sandton",Sandton,-26.0172390000,27.9997080000,0,0,0
Airport Craft Brewers,"Mediterranean, Seafood",2.4,Poor,60,R,300,4,"OR Tambo International Airport, Kempton Park",East Rand,-26.1367840000,28.2408030000,0,0,0
Ocean Basket,"Seafood, Sushi",2.4,Poor,76,R,473,4,"Cresta Shopping Centre, Cresta",Randburg,-26.1310000000,27.9761666667,0,0,0
Antonnio's Italian Kitchen,"Italian, Pizza",2.4,Poor,62,R,280,3,"Lonehill Shopping Centre, Lonehill",Sandton,-26.0145850000,28.0253490000,0,0,0
Sakura Sushi,"Japanese, Sushi",2.4,Poor,54,R,180,2,"Comaro View Shopping Centre, Bassonia",Johannesburg South,-26.2789190000,28.0677660000,0,0,0
Ocean Basket,"Seafood, Sushi",2.4,Poor,61,R,473,4,"Montecasino, Fourways",Sandton,-26.0240000000,28.0118333333,0,0,0
Ocean Basket,"Seafood, Sushi",2.4,Poor,35,R,473,4,"Emperors Palace, Kempton Park",East Rand,-26.1455000000,28.2211666667,0,0,0
Montexo Spur,"Steak, Burger",2.4,Poor,50,R,380,4,"Montecasino, Fourways",Sandton,-26.0240000000,28.0120000000,0,0,0
Pizza Perfect,Pizza,2.5,Average,38,R,150,2,"Bedford Centre, Bedfordview",East Rand,-26.1883333333,28.1233333333,0,0,0
Mochachos,"Mexican, Fast Food",2.4,Poor,27,R,150,2,Melville,Johannesburg,-26.1780000000,28.0013333333,0,0,0
Wetlands,"Contemporary, Continental",2.4,Poor,18,R,300,4,Muldersdrift,West Rand,-25.8323120000,27.8889750000,0,0,0
Wimpy,"Fast Food, Burger",2.4,Poor,11,R,0,1,"OR Tambo International Airport, Kempton Park",East Rand,-26.1366630000,28.2411350000,0,0,0
Ocean Basket,"Seafood, Sushi",2.4,Poor,21,R,473,4,Fordsburg,Inner City,-26.2036666667,28.0206666667,0,0,0
Mi ~ Vami,"Arabian, Fast Food",2.4,Poor,19,R,200,3,"Sunninghill Village Shopping Centre, Sunninghill, Sandton",Sandton,-26.0373333333,28.0795000000,0,0,0
Ocean Basket,"Seafood, Sushi",2.5,Average,103,R,473,4,"The Zone, Rosebank, Sandton",Johannesburg,-26.1458333333,28.0426666667,0,0,0
Hooters,American,2.5,Average,80,R,300,4,"Emperors Palace, Kempton Park",East Rand,-26.1456666667,28.2211666667,0,0,0
The Secret Garden,Contemporary,2.5,Average,57,R,200,3,Fourways,Sandton,-26.0353310000,28.0063040000,0,0,0
Chevy Lane,Burger,2.5,Average,22,R,300,4,Bedford Gardens,East Rand,0.0000000000,0.0000000000,0,0,0
Dros,"Portuguese, Italian, American, Pizza",2.5,Average,49,R,300,4,"Eden Meadows Shopping Centre, Edenvale",East Rand,-26.1210340000,28.1379380000,0,0,0
C & C Sushi,"Japanese, Sushi",2.5,Average,39,R,150,2,"Sunninghill Village Shopping Centre, Sunninghill, Sandton",Sandton,-26.0367980000,28.0801370000,0,0,0
Stages,"American, British, Italian",2.5,Average,37,R,0,1,Braamfontein,Inner City,-26.1911220000,28.0392730000,0,0,0
Nino's,"European, Italian, Pizza",2.5,Average,32,R,180,2,"Rivonia Village Shopping Centre, Rivoina",Sandton,-26.0601666667,28.0636666667,0,0,0
Ocean Basket,"Seafood, Sushi",2.5,Average,23,R,473,4,"Eastgate Shopping Centre, Bedford Gardens",East Rand,-26.1805000000,28.1163333333,0,0,0
Wimpy,"Fast Food, Burger",2.5,Average,25,R,0,1,"Sandton City Shopping Centre, Sandown",Sandton,-26.1076666667,28.0543333333,0,0,0
Bru's,"South African, Pizza, Burger",2.5,Average,18,R,250,3,"Carnival City, Brakpan",East Rand,-26.2583500000,28.3139060000,0,0,0
Michelo's Pizzeria,"Italian, Pizza, Sushi",2.5,Average,28,R,200,3,Glenhazel,Johannesburg,-26.1380000000,28.0975000000,0,0,0
Mochachos,"Mexican, Fast Food",2.5,Average,25,R,150,2,Weltevreden Park,Roodepoort,-26.1048333333,27.9265000000,0,0,0
Ocean Basket,"Seafood, Sushi",2.5,Average,30,R,473,4,"Stoneridge Shopping Centre, Edenvale",East Rand,-26.1153333333,28.1445000000,0,0,0
Panarottis Pizza Pasta Greenstone,"Italian, Pizza",2.5,Average,24,R,280,3,Edenvale,East Rand,-26.1180320000,28.1410230000,0,0,0
Ocean Basket,"Seafood, Sushi",2.5,Average,12,R,473,4,Ormonde,Johannesburg South,-26.2384980000,28.0127440000,0,0,0
Goodies Restaurant,"Steak, Grill, African, Pizza",2.5,Average,23,R,400,4,Kempton Park,East Rand,-26.0704180000,28.2443920000,0,0,0
House Of Ribs,"American, Grill",2.5,Average,21,R,230,3,"Festival Mall, Kempton Park",East Rand,-26.1027730000,28.2231330000,0,0,0
Wimpy,"Fast Food, Burger",2.5,Average,19,R,0,1,"The Glen Shopping Centre, Oakdene, Johannesburg South",Johannesburg South,-26.2684120000,28.0497610000,0,0,0
Dros,"Portuguese, Italian, American, Pizza",2.5,Average,16,R,300,4,Kempton Park,East Rand,-26.0848280000,28.2400200000,0,0,0
Barcelos,Fast Food,2.5,Average,23,R,120,2,Kyalami On Main Shopping Center ,Midrand,-26.0022554129,28.0755497888,0,0,0
Sarasota Spur,"Steak, Burger",2.5,Average,18,R,380,4,Braamfontein,Inner City,-26.1928333333,28.0375000000,0,0,0
Ocean Basket,"Seafood, Sushi",2.5,Average,15,R,473,4,"OR Tambo International Airport, Kempton Park",East Rand,-26.1356666667,28.2315000000,0,0,0
Wichita Spur,"Steak, Burger",2.5,Average,14,R,380,4,"Eastgate Shopping Centre, Bedford Gardens",East Rand,-26.1806666667,28.1163333333,0,0,0
Byblos Hubbly Lounge,"Middle Eastern, Lebanese, Grill, Fast Food",2.5,Average,16,R,250,3,Rivonia,Sandton,-26.0578333333,28.0595000000,0,0,0
Ottawa Creek Spur,"Steak, Burger",2.5,Average,19,R,380,4,"Karaglen Shopping Centre, Edenvale",East Rand,-26.1354210000,28.1808940000,0,0,0
Shaam Arabian Restaurant & Butchery,Contemporary,2.5,Average,13,R,250,3,Rivonia,Sandton,-26.0575350000,28.0603700000,0,0,0
Texamo Spur,"Steak, Burger",2.5,Average,19,R,380,4,"The Glen Shopping Centre, Oakdene, Johannesburg South",Johannesburg South,-26.2673333333,28.0505000000,0,0,0
Ocean Basket,"Seafood, Sushi",2.5,Average,10,R,473,4,"Southgate Mall, Meredale ",Johannesburg South,-26.2673333333,27.9818333333,0,0,0
Fu Li Hua,Asian,2.5,Average,13,R,220,3,"Emperors Palace, Kempton Park",East Rand,-26.1453333333,28.2215000000,0,0,0
Wimpy,"Fast Food, Burger",2.5,Average,10,R,0,1,Halfway House,Midrand,-26.0105530000,28.1218330000,0,0,0
Mi ~ Vami,"Arabian, Fast Food",2.5,Average,8,R,200,3,"Stoneridge Shopping Centre, Edenvale",East Rand,-26.1155000000,28.1445000000,0,0,0
Currylicious,Indian,2.6,Average,79,R,150,2,"Appleton's Village, Ferndale",Randburg,-26.0953333333,27.9855000000,0,0,0
Lets Meat,"Steak, Grill, Pizza",2.6,Average,85,R,350,4,"Lonehill Shopping Centre, Lonehill",Sandton,-26.0136240000,28.0270770000,0,0,0
Ri'Stretto,"Italian, Seafood, Pizza",2.6,Average,59,R,300,4,Morningside,Sandton,-26.0895420000,28.0584400000,0,0,0
Promise Grill & Seafood,"Japanese, Seafood, Steak",2.6,Average,64,R,250,3,Meyersdal,Johannesburg South,-26.2897210000,28.0898700000,0,0,0
Monforte,Portuguese,2.6,Average,11,R,300,4,Woodmead,Sandton,-26.0209510000,28.0896040000,0,0,0
Primafila,"Italian, Pizza",2.6,Average,63,R,300,4,"Montecasino, Fourways",Sandton,-26.0240590000,28.0128540000,0,0,0
Q.ba,"Grill, Pizza, Japanese",2.6,Average,87,R,350,4,"Stoneridge Shopping Centre, Edenvale",East Rand,-26.1153333333,28.1445000000,0,0,0
Ri'Stretto,"Italian, Seafood, Pizza",2.6,Average,49,R,300,4,Kyalami,Midrand,-25.9742619602,28.0935028195,0,0,0
Poppy's,"Portuguese, Italian, Pizza",2.6,Average,53,R,150,2,Melville,Johannesburg,-26.1773333333,28.0086666667,0,0,0
Adega,"Portuguese, Japanese, Italian, European",2.6,Average,48,R,0,1,"Carlswald Decor Centre, Hallfway Gardens",Midrand,-25.9827180000,28.1183450000,0,0,0
Kong Tai,Chinese,2.6,Average,45,R,150,2,"The Wedge, Morningside",Sandton,-26.0748333333,28.0648333333,0,0,0
Mochachos,"Mexican, Fast Food",2.7,Average,38,R,150,2,"Sunninghill Village Shopping Centre, Sunninghill, Sandton",Sandton,-26.0368333333,28.0795000000,0,0,0
Panarottis Pizza Pasta,"Italian, Pizza",2.6,Average,38,R,280,3,"The Zone, Rosebank, Sandton",Johannesburg,-26.1453550000,28.0435930000,0,0,0
Simply Asia,"Thai, Asian",2.6,Average,57,R,280,3,Northcliff,Johannesburg,-26.1396820000,27.9783120000,0,0,0
Papa Boa,"Portuguese, Pizza",2.6,Average,43,R,400,4,"Lakefield Square, Lakefield",East Rand,-26.1787220000,28.2883560000,0,0,0
Brooklyn Brothers,"Burger, American",2.6,Average,23,R,200,3,"Eastgate Shopping Centre, Bedford Gardens",East Rand,-26.1803333333,28.1168333333,0,0,0
Ocean Basket,"Seafood, Sushi",2.6,Average,41,R,473,4,"Bedford Village, Bedfordview",East Rand,-26.1805000000,28.1360000000,0,0,0
Kauai,Healthy Food,2.6,Average,26,R,220,3,"Melrose Arch, Melrose ",Sandton,-26.1338333333,28.0681666667,0,0,0
Something Country,"Continental, Pizza",2.6,Average,27,R,250,3,Muldersdrift,West Rand,-25.9966720000,27.8186810000,0,0,0
Dros,"Portuguese, Italian, American, Pizza",2.6,Average,39,R,300,4,"Campus Square Shoppinng Center, Melville",Johannesburg,-26.1815000000,28.0035000000,0,0,0
The Great Burger Company,"Fast Food, Burger",2.6,Average,30,R,200,3,"Morningview Shopping Centre, Morningside",Sandton,-26.0889320000,28.0659580000,0,0,0
Simply Asia,"Thai, Asian",2.6,Average,33,R,280,3,"Mall of the South, Meyersdal",Johannesburg South,-26.3156890000,28.0629280000,0,0,0
Alaska Spur,"Steak, Burger",2.7,Average,12,R,380,4,"Atlas Shopping Centre, Atlasville",East Rand,-26.1591666667,28.2821666667,0,0,0
Eagles Fare,Continental,2.6,Average,32,R,200,3,Ruimsig,Roodepoort,-26.0871670000,27.8446390000,0,0,0
Andiccio 24,Pizza,2.6,Average,32,R,160,2,Meyersdal,Johannesburg South,-26.2871750000,28.0945800000,0,0,0
Nando's,"African, Portuguese",2.1,Poor,55,R,180,2,"Benmore Gardens Shopping Centre, Benmore Gardens",Sandton,-26.1001666667,28.0490000000,0,0,0
Nando's,"African, Portuguese",2.0,Poor,49,R,180,2,"The Leaping Frog Shopping Centre, Fourways, Sandton",Sandton,-26.0086666667,28.0126666667,0,0,0
Akhalwaya's,"Fast Food, Pizza",2.1,Poor,32,R,100,2,"Woodmead Retail Park, Woodmead, Sandton",Sandton,-26.0505000000,28.0926666667,0,0,0
McDonald's,Fast Food,2.2,Poor,25,R,100,2,Craighall,Johannesburg,-26.1165000000,28.0241666667,0,0,0
Domino's Pizza,"Fast Food, Pizza",2.2,Poor,30,R,150,2,Bryanston,Sandton,-26.0529050000,28.0046660000,0,0,0
Pizza Hut,Pizza,2.2,Poor,26,R,150,2,Sandown,Sandton,-26.1086120000,28.0573580000,0,0,0
McDonald's,Fast Food,2.2,Poor,16,R,100,2,Woodmead,Sandton,-26.0556140000,28.0909740000,0,0,0
Nando's,"African, Portuguese",2.2,Poor,12,R,180,2,Bruma,Inner City,-26.1801666667,28.1103333333,0,0,0
Burger King,"Burger, Fast Food",2.2,Poor,175,R,120,2,Sandown,Sandton,-26.1153550000,28.0492160000,0,0,0
Domino's Pizza,"Fast Food, Pizza",2.3,Poor,39,R,150,2,Fourways,Sandton,-26.0080150000,28.0036100000,0,0,0
KFC,"Fast Food, Burger",2.3,Poor,23,R,125,2,"Pick n Pay Centre, Douglasdale",Sandton,-26.0383333333,27.9936666667,0,0,0
McDonald's,Fast Food,2.3,Poor,19,R,100,2,Ruimsig,Roodepoort,-26.1142070307,27.8961834311,0,0,0
KFC,"Fast Food, Burger",2.3,Poor,20,R,125,2,"Greenstone Crescent, Edenvale",East Rand,-26.1206670000,28.1439730000,0,0,0
Best of Asia,"Japanese, Chinese",2.4,Poor,69,R,200,3,"Pineslopes Shopping Centre, Fourways",Sandton,-26.0223333333,28.0158333333,0,0,0
Pizza Hut,Pizza,2.4,Poor,61,R,150,2,"Honeydew Village Shopping Centre, Weltevreden Park",Roodepoort,-26.1055000000,27.9258333333,0,0,0
Domino's Pizza,"Fast Food, Pizza",2.4,Poor,63,R,150,2,Rivonia,Sandton,-26.0605980000,28.0601590000,0,0,0
Pizza Hut,Pizza,2.4,Poor,62,R,150,2,Norwood,Johannesburg,-26.1571630000,28.0754160000,0,0,0
Eat Your Heart Out,"Healthy Food, Deli",2.4,Poor,34,R,150,2,"Maboneng Precinct, City & Suburban ",Inner City,-26.2036366667,28.0593050000,0,0,0
Adega Express,"Portuguese, Pizza",2.4,Poor,38,R,200,3,"Sandton City Shopping Centre, Sandown",Sandton,-26.1087840000,28.0532650000,0,0,0
Burger King,"Burger, Fast Food",2.5,Average,24,R,120,2,Boksburg,East Rand,-26.1786720000,28.2347430000,0,0,0
Pizza Hut,Pizza,2.4,Poor,38,R,150,2,Fourways,Sandton,-26.0172990000,27.9995720000,0,0,0
Nando's,"African, Portuguese",2.4,Poor,23,R,180,2,"Appleton's Village, Ferndale",Randburg,-26.0953400000,27.9857280000,0,0,0
Akhalwaya's,"Fast Food, Pizza",2.4,Poor,36,R,100,2,"Sandton City Shopping Centre, Sandown",Sandton,-26.1076666667,28.0543333333,0,0,0
Cafe Rousse,"Cafe, Fast Food, Italian",2.4,Poor,29,R,200,3,"Clearwater Mall, Strubens Valley, Roodeport",Roodepoort,-26.1276666667,27.9053333333,0,0,0
Nando's,"African, Portuguese",2.4,Poor,23,R,180,2,"Banbury Cross Village, North Riding",Randburg,-26.0616666667,27.9545000000,0,0,0
McDonald's,Fast Food,2.4,Poor,31,R,100,2,Fourways,Sandton,-26.0156666667,28.0110000000,0,0,0
Steers,"Fast Food, Burger",2.4,Poor,20,R,180,2,"The Colony Shopping Centre, Craighall",Johannesburg,-26.1221666667,28.0293333333,0,0,0
McDonald's,Fast Food,2.4,Poor,18,R,100,2,"Appleton's Village, Ferndale",Randburg,-26.0945000000,27.9848333333,0,0,0
Steers,"Fast Food, Burger",2.4,Poor,23,R,180,2,"Chilli Lane Shopping Centre, Sunninghill",Sandton,-26.0288333333,28.0606666667,0,0,0
Debonairs Pizza,Pizza,2.4,Poor,14,R,0,1,"The Zone, Rosebank, Sandton",Johannesburg,-26.1450000000,28.0430000000,0,0,0
Debonairs Pizza,Pizza,2.4,Poor,17,R,0,1,Norwood,Johannesburg,-26.1597960000,28.0762960000,0,0,0
Anat,"Fast Food, Middle Eastern",2.4,Poor,15,R,130,2,"Eastgate Shopping Centre, Bedford Gardens",East Rand,-26.1806666667,28.1168333333,0,0,0
McDonald's,Fast Food,2.4,Poor,17,R,100,2,Bruma,Inner City,-26.1801666667,28.1095000000,0,0,0
KFC,"Fast Food, Burger",2.4,Poor,14,R,125,2,"Trinity Shopping Centre, Randpark Ridge",Randburg,-26.0941666667,27.9376666667,0,0,0
KFC,"Fast Food, Burger",2.4,Poor,13,R,125,2,Benoni,East Rand,-26.1729060000,28.3301980000,0,0,0
Nando's,"African, Portuguese",2.6,Average,56,R,180,2,Sunninghill,Sandton,-26.0286666667,28.0608333333,0,0,0
Burgerack,Burger,2.5,Average,38,R,180,2,Birnam,Sandton,-26.1300360000,28.0682950000,0,0,0
Chicken Licken,Fast Food,2.5,Average,27,R,120,2,Rivonia,Sandton,-26.0608333333,28.0583333333,0,0,0
KFC,"Fast Food, Burger",2.5,Average,27,R,125,2,"Sunhill Center, Sunninghill",Sandton,-26.0258333333,28.0666666667,0,0,0
Anat,"Fast Food, Middle Eastern",2.5,Average,27,R,130,2,"Montecasino, Fourways",Sandton,-26.0238333333,28.0118333333,0,0,0
Let's wok,Chinese,2.4,Poor,17,R,70,1,Lonehill,Sandton,-26.0139575000,28.0257460938,0,0,0
Bronto's,Pizza,2.5,Average,26,R,230,3,Norwood,Johannesburg,-26.1597800000,28.0763800000,0,0,0
Nando's,"African, Portuguese",2.5,Average,22,R,180,2,"Kyalami Downs Shopping Centre, Kyalami Park",Midrand,-25.9909281591,28.0762146413,0,0,0
Steers,"Fast Food, Burger",2.4,Poor,22,R,180,2,"The Zone, Rosebank, Sandton",Johannesburg,-26.1448333333,28.0430000000,0,0,0
McDonald's,Fast Food,2.5,Average,22,R,100,2,Sandown,Sandton,-26.0978333333,28.0558333333,0,0,0
Debonairs Pizza,Pizza,2.5,Average,15,R,0,1,"Banbury Cross Village, North Riding",Randburg,-26.0620510000,27.9549380000,0,0,0
Anat,"Fast Food, Middle Eastern",2.5,Average,21,R,130,2,"Cresta Shopping Centre, Cresta",Randburg,-26.1308333333,27.9760000000,0,0,0
McDonald's,Fast Food,2.5,Average,15,R,100,2,"Stoneridge Shopping Centre, Edenvale",East Rand,-26.1183333333,28.1438333333,0,0,0
McDonald's,Fast Food,2.4,Poor,14,R,100,2,Edenvale,East Rand,-26.1390333333,28.1513466667,0,0,0
Debonairs Pizza,Pizza,2.5,Average,17,R,0,1,"Sandton City Shopping Centre, Sandown",Sandton,-26.1076666667,28.0543333333,0,0,0
Fishaways,"Seafood, Fast Food",2.5,Average,11,R,120,2,"90 Degrees On Rivonia, Rivonia",Sandton,-26.0713333333,28.0643333333,0,0,0
Domino's Pizza,"Fast Food, Pizza",2.5,Average,19,R,150,2,"Rock Cottage, Weltevreden Park, Roodeport",Roodepoort,-26.1045910000,27.9262680000,0,0,0
Fish and Chips,"Fast Food, Fish and Chips",2.5,Average,12,R,80,1,"Lonehill Shopping Centre, Lonehill",Sandton,-26.0136670000,28.0269410000,0,0,0
KFC,"Fast Food, Burger",2.5,Average,11,R,125,2,Craighall,Johannesburg,-26.1146666667,28.0215000000,0,0,0
Steers,"Fast Food, Burger",2.5,Average,8,R,180,2,"Grayston Shopping Centre, Sandown",Sandton,-26.1001666667,28.0656666667,0,0,0
Debonairs Pizza,Pizza,2.5,Average,6,R,0,1,"Randburg City Shopping Center, Randburg",Randburg,-26.0931666667,28.0026666667,0,0,0
KFC,"Fast Food, Burger",2.5,Average,10,R,125,2,"Palm Court, Weltevreden Park",Roodepoort,-26.1253333333,27.9318333333,0,0,0
KFC,"Fast Food, Burger",2.5,Average,6,R,125,2,Parkhurst,Johannesburg,-26.1423333333,28.0118333333,0,0,0
Danny's House of Curries,Indian,2.6,Average,36,R,150,2,"Montecasino, Fourways",Sandton,-26.0241850000,28.0133160000,0,0,0
Blacksteer Rib & Burger,"Burger, Grill",2.6,Average,27,R,260,3,Edenvale,East Rand,-26.1214850000,28.1429980000,0,0,0
Cosmic Curries,Durban,2.6,Average,20,R,120,2,"Karaglen Shopping Centre, Edenvale",East Rand,-26.1352480000,28.1805410000,0,0,0
Pizza Hut,Pizza,2.6,Average,24,R,150,2,Edenvale,East Rand,-26.1212510000,28.1382660000,0,0,0
Akhalz - The Zone,"Fast Food, Pizza",2.6,Average,26,R,180,2,"The Zone, Rosebank, Sandton",Johannesburg,-26.1453970000,28.0434240000,0,0,0
McDonald's,Fast Food,2.6,Average,27,R,100,2,Rivonia,Sandton,-26.0623333333,28.0630000000,0,0,0
Steers,"Fast Food, Burger",2.6,Average,23,R,180,2,"Grosvenor Crossing, Bryanston",Sandton,-26.0598000000,28.0227000000,0,0,0
Pizza Hut,Pizza,2.6,Average,15,R,150,2,"Mall of Africa, Midrand",Midrand,-26.0162250000,28.1063450000,0,0,0
KFC,"Fast Food, Burger",2.6,Average,17,R,125,2,"Bedford Centre, Bedfordview",East Rand,-26.1876130000,28.1224300000,0,0,0
Chicken Licken,Fast Food,2.6,Average,11,R,120,2,"Cresta Shopping Centre, Cresta",Randburg,-26.1291666667,27.9728333333,0,0,0
Steers,"Fast Food, Burger",2.6,Average,21,R,180,2,"Pineslopes Shopping Centre, Fourways",Sandton,-26.0221030000,28.0160560000,0,0,0
Domino's Pizza,"Fast Food, Pizza",2.6,Average,22,R,150,2,North Riding,Randburg,-26.0598650000,27.9582590000,0,0,0
The Applebite Roadhouse & Pizzeria,"Fast Food, Grill, Pizza",2.6,Average,12,R,250,3,Benoni,East Rand,-26.1692280000,28.3285710000,0,0,0
Steers,"Fast Food, Burger",2.6,Average,13,R,180,2,"The Berg Shopping Centre, Bergbron",Johannesburg,-26.1631666667,27.9525000000,0,0,0
Debonairs Pizza,Pizza,2.6,Average,10,R,0,1,"Grosvenor Crossing, Bryanston",Sandton,-26.0597000000,28.0231000000,0,0,0
Sandwich Baron,Fast Food,2.6,Average,15,R,150,2,Fourways,Sandton,-26.0277560000,28.0015820000,0,0,0
Debonairs Pizza,Pizza,2.6,Average,9,R,0,1,Benoni,East Rand,-26.1729060000,28.3301980000,0,0,0
Debonairs Pizza,Pizza,2.6,Average,15,R,0,1,"Pineslopes Shopping Centre, Fourways",Sandton,-26.0229370000,28.0159510000,0,0,0
Steers,"Fast Food, Burger",2.6,Average,14,R,180,2,"Sandton City Shopping Centre, Sandown",Sandton,-26.1076666667,28.0516666667,0,0,0
Fishaways,"Seafood, Fast Food",2.6,Average,10,R,120,2,"All Saints Shopping Centre, North Riding",Randburg,-26.0538640000,27.9714570000,0,0,0
Fishaways,"Seafood, Fast Food",2.6,Average,8,R,120,2,"Montecasino, Fourways",Sandton,-26.0238333333,28.0120000000,0,0,0
KFC,"Fast Food, Burger",2.6,Average,10,R,125,2,North Riding,Randburg,-26.0541666667,27.9550000000,0,0,0
Debonairs Pizza,Pizza,2.6,Average,11,R,0,1,"Comaro Crossing Shopping Centre, Oakdene",Johannesburg South,-26.2653333333,28.0590000000,0,0,0
Bronto's,Pizza,2.6,Average,11,R,230,3,Parkmore,Sandton,-26.0987581994,28.0463643372,0,0,0
Steers,"Fast Food, Burger",2.6,Average,12,R,180,2,"Northcliff Square Shopping Centre, Northcliff",Johannesburg,-26.1448333333,27.9836666667,0,0,0
Debonairs Pizza,Pizza,2.6,Average,8,R,0,1,"Woodmead Retail Park, Woodmead, Sandton",Sandton,-26.0553780000,28.0928460000,0,0,0
Debonairs Pizza Express,Pizza,2.6,Average,12,R,150,2,Parkmore,Sandton,-26.0993980000,28.0462520000,0,0,0
McDonald's,Fast Food,2.6,Average,10,R,100,2,"Beacon Isle Shopping Centre, Florida North",Roodepoort,-26.1685000000,27.9301666667,0,0,0
KFC,"Fast Food, Burger",2.6,Average,4,R,125,2,"Comaro Crossing Shopping Centre, Oakdene",Johannesburg South,-26.2658960000,28.0594520000,0,0,0
McDonald's,Fast Food,2.6,Average,10,R,100,2,Blackheath,Johannesburg,-26.1293333333,27.9698333333,0,0,0
